# chords.txt
# Kaden Gryphon
# This is the list of guitar chords
# Each row give the index, chord name, bar fret, and the fret for each string
# a 0 for the bar fret means not bar, and a -1 for a string fret means do not play
#
0 A 0 -1 0 2 2 2 0 -1 -1 1 2 3 -1
1 B 2 -1 2 4 4 4 2 -1 -1 2 3 4 -1
2 C 0 -1 3 2 0 1 0 -1 3 2 -1 1 -1
3 D 0 -1 -1 0 2 3 2 -1 -1 -1 1 3 2
4 E 0 0 2 2 1 0 0 -1 2 3 1 -1 -1
5 F 1 1 3 3 2 1 1 -1 3 4 2 -1 -1
6 G 0 3 2 0 0 0 3 2 1 -0 -0 -0 3
7 Am 0 -1 0 2 2 1 0 -1 -1 2 3 1 -1
8 Bm 2 -1 2 4 4 3 2 -1 -1 3 4 2 -1
9 Cm 3 -1 3 5 5 4 3 -1 -1 3 4 2 -1
10 Dm 0 -1 -1 0 2 3 1 -1 -1 -1 2 3 1
11 Em 0 0 2 2 0 0 0 -1 2 3 -1 -1 -1
12 Fm 1 1 3 3 1 1 1 -1 3 4 -1 -1 -1
13 Gm 3 3 5 5 3 3 3 -1 3 4 -1 -1 -1
14 A7 0 -1 0 2 0 2 0 -1 -1 2 -1 3 -1
15 B7 0 -1 2 1 2 0 2 -1 2 1 3 -1 4
16 C7 0 -1 3 2 3 1 0 -1 3 2 4 1 -1
17 D7 0 -1 -1 0 2 1 2 -1 -1 -1 2 1 3
18 E7 0 0 2 0 1 0 0 -1 2 -1 1 -1 -1
19 F7 1 1 3 1 2 1 1 -1 3 -1 2 -1 -1
20 G7 0 3 2 0 0 0 1 3 2 -1 -1 -1 1
