Tennis Game, trials= 1000000
Player A wins, count=  623057 proportion= 0.62
Player B wins, count=  376943 proportion= 0.38
shortest game=    4
longest  game=   48

Total Counts for each state

   state |   count | proportion
         |         |
 1   0,0 | 1000000 | 1.00
 2  15,0 |  549930 | 0.55
 3  30,0 |  302543 | 0.30
 4  40,0 |  166288 | 0.17
 5  0,15 |  450070 | 0.45
 6 15,15 |  495333 | 0.50
 7 30,15 |  408252 | 0.41
 8 40,15 |  299161 | 0.30
 9  0,30 |  202124 | 0.20
10 15,30 |  334824 | 0.33
11 30,30 |  367586 | 0.37
12 40,30 |  337213 | 0.34
13  0,40 |   90636 | 0.09
14 15,40 |  200623 | 0.20
15 30,40 |  275119 | 0.28
16 Deuce |  600191 | 0.60
17 Adv A |  329651 | 0.33
18 Adv B |  270540 | 0.27
19 A Win |  623057 | 0.62
20 B Win |  376943 | 0.38
