Road Traffic, Scenario = 1, Dally = 0.00, Trials = 100
trial=   1, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.53
trial=   2, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.49
trial=   3, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.47
trial=   4, traffic density= 0.10, mean velocity= 4.82, flow rate= 0.54
trial=   5, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.49
trial=   6, traffic density= 0.10, mean velocity= 4.84, flow rate= 0.45
trial=   7, traffic density= 0.10, mean velocity= 4.94, flow rate= 0.50
trial=   8, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.48
trial=   9, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.48
trial=  10, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.53
trial=  11, traffic density= 0.10, mean velocity= 4.96, flow rate= 0.51
trial=  12, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.47
trial=  13, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.45
trial=  14, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.47
trial=  15, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.48
trial=  16, traffic density= 0.10, mean velocity= 4.87, flow rate= 0.47
trial=  17, traffic density= 0.10, mean velocity= 4.88, flow rate= 0.47
trial=  18, traffic density= 0.10, mean velocity= 4.90, flow rate= 0.49
trial=  19, traffic density= 0.10, mean velocity= 4.88, flow rate= 0.51
trial=  20, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.50
trial=  21, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.48
trial=  22, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.48
trial=  23, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.48
trial=  24, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.47
trial=  25, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.48
trial=  26, traffic density= 0.10, mean velocity= 4.94, flow rate= 0.49
trial=  27, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.49
trial=  28, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.48
trial=  29, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.48
trial=  30, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.48
trial=  31, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.48
trial=  32, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.52
trial=  33, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.45
trial=  34, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.47
trial=  35, traffic density= 0.10, mean velocity= 4.87, flow rate= 0.50
trial=  36, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.49
trial=  37, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.49
trial=  38, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.52
trial=  39, traffic density= 0.10, mean velocity= 4.90, flow rate= 0.48
trial=  40, traffic density= 0.10, mean velocity= 4.87, flow rate= 0.49
trial=  41, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.52
trial=  42, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.49
trial=  43, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.52
trial=  44, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.51
trial=  45, traffic density= 0.10, mean velocity= 4.90, flow rate= 0.49
trial=  46, traffic density= 0.10, mean velocity= 4.90, flow rate= 0.49
trial=  47, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.44
trial=  48, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.48
trial=  49, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.48
trial=  50, traffic density= 0.10, mean velocity= 4.83, flow rate= 0.52
trial=  51, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.49
trial=  52, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.48
trial=  53, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.51
trial=  54, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.47
trial=  55, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.50
trial=  56, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.46
trial=  57, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.48
trial=  58, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.52
trial=  59, traffic density= 0.10, mean velocity= 4.95, flow rate= 0.49
trial=  60, traffic density= 0.10, mean velocity= 4.90, flow rate= 0.51
trial=  61, traffic density= 0.10, mean velocity= 4.90, flow rate= 0.47
trial=  62, traffic density= 0.10, mean velocity= 4.95, flow rate= 0.50
trial=  63, traffic density= 0.10, mean velocity= 4.87, flow rate= 0.48
trial=  64, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.47
trial=  65, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.48
trial=  66, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.48
trial=  67, traffic density= 0.10, mean velocity= 4.94, flow rate= 0.46
trial=  68, traffic density= 0.10, mean velocity= 4.87, flow rate= 0.45
trial=  69, traffic density= 0.10, mean velocity= 4.94, flow rate= 0.48
trial=  70, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.49
trial=  71, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.47
trial=  72, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.46
trial=  73, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.52
trial=  74, traffic density= 0.10, mean velocity= 4.88, flow rate= 0.49
trial=  75, traffic density= 0.10, mean velocity= 4.95, flow rate= 0.51
trial=  76, traffic density= 0.10, mean velocity= 4.87, flow rate= 0.49
trial=  77, traffic density= 0.10, mean velocity= 4.95, flow rate= 0.50
trial=  78, traffic density= 0.10, mean velocity= 4.89, flow rate= 0.50
trial=  79, traffic density= 0.10, mean velocity= 4.88, flow rate= 0.46
trial=  80, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.49
trial=  81, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.48
trial=  82, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.48
trial=  83, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.49
trial=  84, traffic density= 0.10, mean velocity= 4.94, flow rate= 0.51
trial=  85, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.50
trial=  86, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.47
trial=  87, traffic density= 0.10, mean velocity= 4.82, flow rate= 0.45
trial=  88, traffic density= 0.10, mean velocity= 4.88, flow rate= 0.48
trial=  89, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.47
trial=  90, traffic density= 0.10, mean velocity= 4.91, flow rate= 0.45
trial=  91, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.50
trial=  92, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.49
trial=  93, traffic density= 0.10, mean velocity= 4.94, flow rate= 0.50
trial=  94, traffic density= 0.10, mean velocity= 4.94, flow rate= 0.50
trial=  95, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.51
trial=  96, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.50
trial=  97, traffic density= 0.10, mean velocity= 4.93, flow rate= 0.49
trial=  98, traffic density= 0.10, mean velocity= 4.95, flow rate= 0.49
trial=  99, traffic density= 0.10, mean velocity= 4.92, flow rate= 0.47
trial= 100, traffic density= 0.10, mean velocity= 4.94, flow rate= 0.47
mean traffic density= 0.10
mean mean velocity  = 4.91
mean flow rate      = 0.49


Road Traffic, Scenario = 2, Dally = 0.20 Trials = 100
trial=   1, traffic density= 0.10, mean velocity= 2.77, flow rate= 0.54
trial=   2, traffic density= 0.10, mean velocity= 2.65, flow rate= 0.53
trial=   3, traffic density= 0.10, mean velocity= 2.56, flow rate= 0.54
trial=   4, traffic density= 0.10, mean velocity= 2.66, flow rate= 0.53
trial=   5, traffic density= 0.10, mean velocity= 2.55, flow rate= 0.50
trial=   6, traffic density= 0.10, mean velocity= 2.61, flow rate= 0.53
trial=   7, traffic density= 0.10, mean velocity= 2.69, flow rate= 0.53
trial=   8, traffic density= 0.10, mean velocity= 2.59, flow rate= 0.49
trial=   9, traffic density= 0.10, mean velocity= 2.65, flow rate= 0.56
trial=  10, traffic density= 0.10, mean velocity= 2.61, flow rate= 0.52
trial=  11, traffic density= 0.10, mean velocity= 2.54, flow rate= 0.51
trial=  12, traffic density= 0.10, mean velocity= 2.66, flow rate= 0.54
trial=  13, traffic density= 0.10, mean velocity= 2.63, flow rate= 0.54
trial=  14, traffic density= 0.10, mean velocity= 2.64, flow rate= 0.52
trial=  15, traffic density= 0.10, mean velocity= 2.64, flow rate= 0.54
trial=  16, traffic density= 0.10, mean velocity= 2.63, flow rate= 0.53
trial=  17, traffic density= 0.10, mean velocity= 2.68, flow rate= 0.52
trial=  18, traffic density= 0.10, mean velocity= 2.56, flow rate= 0.53
trial=  19, traffic density= 0.10, mean velocity= 2.64, flow rate= 0.53
trial=  20, traffic density= 0.10, mean velocity= 2.79, flow rate= 0.55
trial=  21, traffic density= 0.10, mean velocity= 2.75, flow rate= 0.52
trial=  22, traffic density= 0.10, mean velocity= 2.55, flow rate= 0.52
trial=  23, traffic density= 0.10, mean velocity= 2.64, flow rate= 0.54
trial=  24, traffic density= 0.10, mean velocity= 2.63, flow rate= 0.54
trial=  25, traffic density= 0.10, mean velocity= 2.73, flow rate= 0.53
trial=  26, traffic density= 0.10, mean velocity= 2.67, flow rate= 0.52
trial=  27, traffic density= 0.10, mean velocity= 2.79, flow rate= 0.57
trial=  28, traffic density= 0.10, mean velocity= 2.77, flow rate= 0.54
